Type,Family,Cost,Cut Length,Structural Material,Count
UPE 80,UPE - Canales de ala paralela,60,402,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,532,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,537,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,532,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,537,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,407,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,407,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,407,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,407,Metal - Acero - 345 MPa,1
UPE 80,UPE - Canales de ala paralela,60,88,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,335,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,267,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,335,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,267,Metal - Acero - 345 MPa,1
UKA90x90x8,UKA-UK Angles,95,499,Metal - Acero - 345 MPa,1
UPE 80,UPE - Canales de ala paralela,60,402,Metal - Acero - 345 MPa,1
UPE 80,UPE - Canales de ala paralela,60,402,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,532,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,537,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,532,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,537,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,407,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,407,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,407,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,407,Metal - Acero - 345 MPa,1
UPE 80,UPE - Canales de ala paralela,60,88,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,335,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,267,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,335,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,267,Metal - Acero - 345 MPa,1
UKA90x90x8,UKA-UK Angles,95,499,Metal - Acero - 345 MPa,1
UPE 80,UPE - Canales de ala paralela,60,402,Metal - Acero - 345 MPa,1
UPE 80,UPE - Canales de ala paralela,60,402,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,532,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,537,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,532,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,537,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,407,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,407,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,407,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,407,Metal - Acero - 345 MPa,1
UPE 80,UPE - Canales de ala paralela,60,88,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,335,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,267,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,335,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,267,Metal - Acero - 345 MPa,1
UKA90x90x8,UKA-UK Angles,95,499,Metal - Acero - 345 MPa,1
UPE 80,UPE - Canales de ala paralela,60,402,Metal - Acero - 345 MPa,1
UPE 80,UPE - Canales de ala paralela,60,402,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,532,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,537,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,532,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,537,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,407,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,407,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,407,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,407,Metal - Acero - 345 MPa,1
UPE 80,UPE - Canales de ala paralela,60,88,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,335,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,267,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,335,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,267,Metal - Acero - 345 MPa,1
UKA90x90x8,UKA-UK Angles,95,499,Metal - Acero - 345 MPa,1
UPE 80,UPE - Canales de ala paralela,60,402,Metal - Acero - 345 MPa,1
UPE 80,UPE - Canales de ala paralela,60,402,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,532,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,537,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,532,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,537,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,407,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,407,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,407,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,407,Metal - Acero - 345 MPa,1
UPE 80,UPE - Canales de ala paralela,60,88,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,335,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,267,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,335,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,267,Metal - Acero - 345 MPa,1
UKA90x90x8,UKA-UK Angles,95,499,Metal - Acero - 345 MPa,1
UPE 80,UPE - Canales de ala paralela,60,402,Metal - Acero - 345 MPa,1
UPE 80,UPE - Canales de ala paralela,60,402,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,532,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,537,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,532,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,537,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,407,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,407,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,407,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,407,Metal - Acero - 345 MPa,1
UPE 80,UPE - Canales de ala paralela,60,88,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,335,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,267,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,335,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,267,Metal - Acero - 345 MPa,1
UKA90x90x8,UKA-UK Angles,95,499,Metal - Acero - 345 MPa,1
UPE 80,UPE - Canales de ala paralela,60,402,Metal - Acero - 345 MPa,1
UPE 80,UPE - Canales de ala paralela,60,402,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,532,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,537,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,532,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,537,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,407,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,407,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,407,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,407,Metal - Acero - 345 MPa,1
UPE 80,UPE - Canales de ala paralela,60,88,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,335,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,267,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,335,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,267,Metal - Acero - 345 MPa,1
UKA90x90x8,UKA-UK Angles,95,499,Metal - Acero - 345 MPa,1
UPE 80,UPE - Canales de ala paralela,60,402,Metal - Acero - 345 MPa,1
UPE 80,UPE - Canales de ala paralela,60,402,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,532,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,537,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,532,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,537,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,407,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,407,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,407,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,407,Metal - Acero - 345 MPa,1
UPE 80,UPE - Canales de ala paralela,60,88,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,335,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,267,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,335,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,267,Metal - Acero - 345 MPa,1
UKA90x90x8,UKA-UK Angles,95,499,Metal - Acero - 345 MPa,1
UPE 80,UPE - Canales de ala paralela,60,402,Metal - Acero - 345 MPa,1
UPE 80,UPE - Canales de ala paralela,60,402,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,532,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,537,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,532,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,537,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,407,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,407,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,407,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,407,Metal - Acero - 345 MPa,1
UPE 80,UPE - Canales de ala paralela,60,88,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,335,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,267,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,335,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,267,Metal - Acero - 345 MPa,1
UKA90x90x8,UKA-UK Angles,95,499,Metal - Acero - 345 MPa,1
UPE 80,UPE - Canales de ala paralela,60,402,Metal - Acero - 345 MPa,1
UPE 80,UPE - Canales de ala paralela,60,402,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,532,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,537,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,532,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,537,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,407,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,407,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,407,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,407,Metal - Acero - 345 MPa,1
UPE 80,UPE - Canales de ala paralela,60,88,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,335,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,267,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,335,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,267,Metal - Acero - 345 MPa,1
UKA90x90x8,UKA-UK Angles,95,499,Metal - Acero - 345 MPa,1
UPE 80,UPE - Canales de ala paralela,60,402,Metal - Acero - 345 MPa,1
UPE 80,UPE - Canales de ala paralela,60,402,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,532,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,537,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,532,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,537,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,407,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,407,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,407,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,407,Metal - Acero - 345 MPa,1
UPE 80,UPE - Canales de ala paralela,60,88,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,335,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,267,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,335,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,267,Metal - Acero - 345 MPa,1
UKA90x90x8,UKA-UK Angles,95,499,Metal - Acero - 345 MPa,1
UPE 80,UPE - Canales de ala paralela,60,402,Metal - Acero - 345 MPa,1
UPE 80,UPE - Canales de ala paralela,60,402,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,532,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,537,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,532,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,537,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,407,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,407,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,407,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,407,Metal - Acero - 345 MPa,1
UPE 80,UPE - Canales de ala paralela,60,88,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,335,Metal - Acero - 345 MPa,1
L 50x50x7,L - Perfiles angulares de lados iguales,50,267,Metal - Acero - 345 MPa,1
